ID,Product Code,Image File,Current Shape,Correct Shape (Client Fill)
1,AABA1038,frames/AABA1038_front.jpg,round,
2,CABA3443,frames/CABA3443_IMG_1789.jpg,rectangle,
3,CABA3510,frames/CABA3510_IMG_1463.jpg,rectangle,
4,EABA0532,frames/EABA0532_IMG_0359.jpg,rectangle,
5,EBBA0643,frames/EBBA0643_IMG_2351.jpg,cat-eye,
6,FAAA1212,frames/FAAA1212_IMG20260725194903.jpg,rectangle,
7,FAAA1892,frames/FAAA1892_IMG_1717.jpg,rectangle,
8,FABA2116,frames/FABA2116_IMG_2138.jpg,rectangle,
9,FABA2295,frames/FABA2295_IMG_1985.jpg,cat-eye,
10,FBBA2598,frames/FBBA2598_IMG_2384.jpg,aviator,
11,FBBA3331,frames/FBBA3331_IMG_2213.jpg,oval,
12,FBBA3351,frames/FBBA3351_IMG_2312.jpg,oval,
13,GAAA3225,frames/GAAA3225_IMG_0419.jpg,cat-eye,
14,GAAA3254,frames/GAAA3254_IMG_1366.jpg,oval,
15,GAAA3266,frames/GAAA3266_IMG_1585.jpg,rectangle,
16,GABA3055,frames/GABA3055_IMG_1378.jpg,cat-eye,
17,GABA3067,frames/GABA3067_IMG_1198.jpg,round,
18,GABA3096,frames/GABA3096_IMG_2051.jpg,aviator,
19,GABA3138,frames/GABA3138_IMG_2015(1).jpg,aviator,
20,IABA2522,frames/IABA2522_IMG_2182.jpg,aviator,
21,JP10276,frames/JP10276_IMG_2520.jpg,round,
22,JP99457345,frames/JP99457345_IMG_2590.jpg,rectangle,
23,JP995157,frames/JP995157_IMG_2614.jpg,rectangle,
24,JP995275,frames/JP995275_IMG_2270.jpg,cat-eye,
25,Jp995292,frames/Jp995292_IMG_0356.jpg,rectangle,
26,JP995360,frames/JP995360_IMG_1799.jpg,rectangle,
27,JP995378,frames/JP995378_IMG_1868.jpg,rectangle,
28,JP995389,frames/JP995389_front.jpg,square,
29,JP995403,frames/JP995403_IMG_0809.jpg,rectangle,
30,JP995412,frames/JP995412_IMG_1698.jpg,round,
